State,County,County Code,Deaths
Illinois,"Adams County, IL",17001,20
Illinois,"Boone County, IL",17007,15
Illinois,"Champaign County, IL",17019,27
Illinois,"Coles County, IL",17029,15
Illinois,"Cook County, IL",17031,1354
Illinois,"DuPage County, IL",17043,142
Illinois,"Franklin County, IL",17055,17
Illinois,"Grundy County, IL",17063,15
Illinois,"Henry County, IL",17073,11
Illinois,"Jackson County, IL",17077,17
Illinois,"Jefferson County, IL",17081,10
Illinois,"Kane County, IL",17089,100
Illinois,"Kankakee County, IL",17091,33
Illinois,"Kendall County, IL",17093,13
Illinois,"Knox County, IL",17095,15
Illinois,"Lake County, IL",17097,131
Illinois,"LaSalle County, IL",17099,25
Illinois,"McHenry County, IL",17111,50
Illinois,"McLean County, IL",17113,25
Illinois,"Macon County, IL",17115,26
Illinois,"Madison County, IL",17119,83
Illinois,"Massac County, IL",17127,10
Illinois,"Morgan County, IL",17137,13
Illinois,"Ogle County, IL",17141,11
Illinois,"Peoria County, IL",17143,53
Illinois,"Rock Island County, IL",17161,40
Illinois,"St. Clair County, IL",17163,73
Illinois,"Sangamon County, IL",17167,42
Illinois,"Tazewell County, IL",17179,36
Illinois,"Vermilion County, IL",17183,22
Illinois,"Whiteside County, IL",17195,13
Illinois,"Will County, IL",17197,131
Illinois,"Williamson County, IL",17199,27
Illinois,"Winnebago County, IL",17201,74
Illinois,"Woodford County, IL",17203,13
Illinois,,,3027
Indiana,"Allen County, IN",18003,88
Indiana,"Bartholomew County, IN",18005,20
Indiana,"Boone County, IN",18011,10
Indiana,"Cass County, IN",18017,11
Indiana,"Clark County, IN",18019,29
Indiana,"Dearborn County, IN",18029,18
Indiana,"Delaware County, IN",18035,29
Indiana,"Dubois County, IN",18037,11
Indiana,"Elkhart County, IN",18039,62
Indiana,"Floyd County, IN",18043,25
Indiana,"Grant County, IN",18053,20
Indiana,"Hamilton County, IN",18057,43
Indiana,"Hancock County, IN",18059,10
Indiana,"Harrison County, IN",18061,14
Indiana,"Hendricks County, IN",18063,28
Indiana,"Howard County, IN",18067,18
Indiana,"Jackson County, IN",18071,10
Indiana,"Jennings County, IN",18079,15
Indiana,"Johnson County, IN",18081,16
Indiana,"Knox County, IN",18083,17
Indiana,"Kosciusko County, IN",18085,21
Indiana,"Lagrange County, IN",18087,11
Indiana,"Lake County, IN",18089,126
Indiana,"La Porte County, IN",18091,29
Indiana,"Lawrence County, IN",18093,19
Indiana,"Madison County, IN",18095,41
Indiana,"Marion County, IN",18097,256
Indiana,"Marshall County, IN",18099,15
Indiana,"Monroe County, IN",18105,33
Indiana,"Montgomery County, IN",18107,14
Indiana,"Morgan County, IN",18109,16
Indiana,"Newton County, IN",18111,10
Indiana,"Noble County, IN",18113,21
Indiana,"Owen County, IN",18119,11
Indiana,"Perry County, IN",18123,11
Indiana,"Porter County, IN",18127,37
Indiana,"Posey County, IN",18129,10
Indiana,"Putnam County, IN",18133,11
Indiana,"St. Joseph County, IN",18141,70
Indiana,"Shelby County, IN",18145,10
Indiana,"Spencer County, IN",18147,10
Indiana,"Sullivan County, IN",18153,11
Indiana,"Tippecanoe County, IN",18157,31
Indiana,"Vanderburgh County, IN",18163,51
Indiana,"Vermillion County, IN",18165,10
Indiana,"Vigo County, IN",18167,19
Indiana,"Warrick County, IN",18173,15
Indiana,"Wayne County, IN",18177,14
Indiana,,,1675
Michigan,"Allegan County, MI",26005,24
Michigan,"Alpena County, MI",26007,11
Michigan,"Barry County, MI",26015,20
Michigan,"Bay County, MI",26017,30
Michigan,"Berrien County, MI",26021,44
Michigan,"Branch County, MI",26023,16
Michigan,"Calhoun County, MI",26025,37
Michigan,"Cass County, MI",26027,20
Michigan,"Chippewa County, MI",26033,14
Michigan,"Clinton County, MI",26037,14
Michigan,"Delta County, MI",26041,17
Michigan,"Dickinson County, MI",26043,13
Michigan,"Eaton County, MI",26045,26
Michigan,"Emmet County, MI",26047,10
Michigan,"Genesee County, MI",26049,97
Michigan,"Gladwin County, MI",26051,11
Michigan,"Grand Traverse County, MI",26055,34
Michigan,"Huron County, MI",26063,11
Michigan,"Ingham County, MI",26065,60
Michigan,"Ionia County, MI",26067,13
Michigan,"Iosco County, MI",26069,10
Michigan,"Isabella County, MI",26073,13
Michigan,"Jackson County, MI",26075,35
Michigan,"Kalamazoo County, MI",26077,70
Michigan,"Kalkaska County, MI",26079,10
Michigan,"Kent County, MI",26081,139
