FIPS,state,county,population,poverty,drowningdeaths,povertyratio,deathpopulationratio,deathpovertyratio
39009,OH,Athens County,56177,16942,13,30.16%,0.02%,0.08%
29155,MO,Pemiscot County,16358,4480,14,27.39%,0.09%,0.31%
17077,IL,Jackson County,53972,14307,17,26.51%,0.03%,0.12%
26073,MI,Isabella County,64236,16707,13,26.01%,0.02%,0.08%
29069,MO,Dunklin County,29205,7505,11,25.70%,0.04%,0.15%
29215,MO,Texas County,24131,6111,10,25.32%,0.04%,0.16%
29023,MO,Butler County,41695,9893,23,23.73%,0.06%,0.23%
18105,IN,Monroe County,130635,30706,33,23.51%,0.03%,0.11%
29141,MO,Morgan County,19856,4630,15,23.32%,0.08%,0.32%
39145,OH,Scioto County,72411,16330,19,22.55%,0.03%,0.12%
26163,MI,Wayne County,1736055,387362,536,22.31%,0.03%,0.14%
29091,MO,Howell County,39430,8782,11,22.27%,0.03%,0.13%
18035,IN,Delaware County,107758,23562,29,21.87%,0.03%,0.12%
29510,MO,St. Louis city,299689,65412,97,21.83%,0.03%,0.15%
26107,MI,Mecosta County,40240,8541,14,21.23%,0.04%,0.16%
29083,MO,Henry County,21349,4509,10,21.12%,0.05%,0.22%
29009,MO,Barry County,34990,7370,10,21.06%,0.03%,0.14%
19169,IA,Story County,86072,18022,17,20.94%,0.02%,0.09%
17029,IL,Coles County,47788,9932,15,20.78%,0.03%,0.15%
39053,OH,Gallia County,29252,6055,13,20.70%,0.04%,0.22%
39001,OH,Adams County,27431,5666,12,20.66%,0.04%,0.21%
29161,MO,Phelps County,41549,8569,13,20.62%,0.03%,0.15%
20037,KS,Crawford County,36940,7513,12,20.34%,0.03%,0.16%
17019,IL,Champaign County,194198,38859,27,20.01%,0.01%,0.07%
39007,OH,Ashtabula County,94629,18825,32,19.89%,0.03%,0.17%
26065,MI,Ingham County,271705,53303,60,19.62%,0.02%,0.11%
17055,IL,Franklin County,38154,7425,17,19.46%,0.05%,0.23%
39115,OH,Morgan County,14420,2774,10,19.24%,0.07%,0.36%
20209,KS,Wyandotte County,163000,31261,53,19.18%,0.03%,0.17%
18167,IN,Vigo County,98730,18815,19,19.06%,0.02%,0.10%
55079,WI,Milwaukee County,929362,176286,275,18.97%,0.03%,0.16%
26049,MI,Genesee County,403003,76326,97,18.94%,0.02%,0.13%
17183,IL,Vermilion County,74449,14081,22,18.91%,0.03%,0.16%
27007,MN,Beltrami County,43962,8306,17,18.89%,0.04%,0.21%
39095,OH,Lucas County,421225,78848,113,18.72%,0.03%,0.14%
18157,IN,Tippecanoe County,174497,32662,31,18.72%,0.02%,0.10%
20125,KS,Montgomery County,31583,5911,18,18.72%,0.06%,0.31%
26033,MI,Chippewa County,34009,6257,14,18.40%,0.04%,0.22%
20099,KS,Labette County,19672,3619,11,18.40%,0.06%,0.30%
17095,IL,Knox County,46294,8413,15,18.17%,0.03%,0.18%
19103,IA,Johnson County,140737,25469,20,18.10%,0.01%,0.08%
39087,OH,Lawrence County,59272,10712,20,18.07%,0.03%,0.19%
20045,KS,Douglas County,112036,20169,18,18.00%,0.02%,0.09%
18053,IN,Grant County,60861,10953,20,18.00%,0.03%,0.18%
26145,MI,Saginaw County,185415,33351,61,17.99%,0.03%,0.18%
29019,MO,Boone County,168542,30183,41,17.91%,0.02%,0.14%
29225,MO,Webster County,37392,6674,10,17.85%,0.03%,0.15%
18097,IN,Marion County,932652,165969,256,17.80%,0.03%,0.15%
27013,MN,Blue Earth County,63316,11148,15,17.61%,0.02%,0.14%
39099,OH,Mahoning County,223309,39109,40,17.51%,0.02%,0.10%
39081,OH,Jefferson County,64077,11207,10,17.49%,0.02%,0.09%
39035,OH,Cuyahoga County,1221310,213209,315,17.46%,0.03%,0.15%
39141,OH,Ross County,71005,12307,23,17.33%,0.03%,0.19%
39155,OH,Trumbull County,196590,33883,38,17.24%,0.02%,0.11%
29021,MO,Buchanan County,84297,14519,22,17.22%,0.03%,0.15%
29097,MO,Jasper County,117475,20089,28,17.10%,0.02%,0.14%
17081,IL,Jefferson County,35505,6046,10,17.03%,0.03%,0.17%
17115,IL,Macon County,102004,17295,26,16.96%,0.03%,0.15%
26051,MI,Gladwin County,24944,4215,11,16.90%,0.04%,0.26%
17127,IL,Massac County,13918,2331,10,16.75%,0.07%,0.43%
18163,IN,Vanderburgh County,174643,29122,51,16.68%,0.03%,0.18%
26079,MI,Kalkaska County,17423,2905,10,16.67%,0.06%,0.34%
39113,OH,Montgomery County,513818,85528,139,16.65%,0.03%,0.16%
26123,MI,Newaygo County,47699,7928,13,16.62%,0.03%,0.16%
18095,IN,Madison County,123020,20338,41,16.53%,0.03%,0.20%
26025,MI,Calhoun County,130391,21423,37,16.43%,0.03%,0.17%
29077,MO,Greene County,277987,45603,48,16.40%,0.02%,0.11%
29031,MO,Cape Girardeau County,75282,12328,19,16.38%,0.03%,0.15%
29175,MO,Randolph County,22672,3712,10,16.37%,0.04%,0.27%
29159,MO,Pettis County,41503,6794,11,16.37%,0.03%,0.16%
18177,IN,Wayne County,63523,10395,14,16.36%,0.02%,0.14%
38035,ND,Grand Forks County,65893,10662,16,16.18%,0.02%,0.15%
26021,MI,Berrien County,150558,24305,44,16.14%,0.03%,0.18%
19057,IA,Des Moines County,38562,6214,14,16.11%,0.04%,0.23%
39119,OH,Muskingum County,83515,13396,13,16.04%,0.02%,0.10%
19013,IA,Black Hawk County,127289,20129,27,15.81%,0.02%,0.13%
26023,MI,Branch County,41041,6490,16,15.81%,0.04%,0.25%
26017,MI,Bay County,102883,16266,30,15.81%,0.03%,0.18%
39061,OH,Hamilton County,795895,125456,172,15.76%,0.02%,0.14%
39049,OH,Franklin County,1260187,197950,244,15.71%,0.02%,0.12%
26103,MI,Marquette County,62841,9833,17,15.65%,0.03%,0.17%
17143,IL,Peoria County,177693,27783,53,15.64%,0.03%,0.19%
18089,IN,Lake County,479398,74629,126,15.57%,0.03%,0.17%
17201,IL,Winnebago County,280102,43574,74,15.56%,0.03%,0.17%
29187,MO,St. Francois County,59587,9249,13,15.52%,0.02%,0.14%
18083,IN,Knox County,34676,5381,17,15.52%,0.05%,0.32%
18141,IN,St. Joseph County,257889,40012,70,15.52%,0.03%,0.18%
26121,MI,Muskegon County,166377,25719,61,15.46%,0.04%,0.24%
18119,IN,Owen County,20489,3154,11,15.39%,0.05%,0.35%
39015,OH,Brown County,42846,6557,15,15.30%,0.04%,0.23%
26069,MI,Iosco County,24813,3774,10,15.21%,0.04%,0.27%
18091,IN,La Porte County,101967,15490,29,15.19%,0.03%,0.19%
55043,WI,Grant County,48031,7278,12,15.15%,0.03%,0.17%
26151,MI,Sanilac County,40675,6150,11,15.12%,0.03%,0.18%
29169,MO,Pulaski County,43055,6497,15,15.09%,0.04%,0.23%
29105,MO,Laclede County,35077,5265,11,15.01%,0.03%,0.21%
18165,IN,Vermillion County,15252,2280,10,14.95%,0.07%,0.44%
39033,OH,Crawford County,40931,6118,11,14.95%,0.03%,0.18%
26077,MI,Kalamazoo County,254596,38054,70,14.95%,0.03%,0.18%
19179,IA,Wapello County,34348,5132,16,14.94%,0.05%,0.31%
17113,IL,McLean County,164486,24575,25,14.94%,0.02%,0.10%
31119,NE,Madison County,34009,5069,13,14.90%,0.04%,0.26%
39023,OH,Clark County,131347,19570,41,14.90%,0.03%,0.21%
18067,IN,Howard County,80868,12046,18,14.90%,0.02%,0.15%
26159,MI,Van Buren County,74460,11060,24,14.85%,0.03%,0.22%
26149,MI,St. Joseph County,59829,8884,17,14.85%,0.03%,0.19%
39101,OH,Marion County,59343,8790,16,14.81%,0.03%,0.18%
