Name,FIPS,State,Population,Poverty
Fayette County,17051,IL,19855,3421
Logan County,17107,IL,24979,2323
Saline County,17165,IL,23435,4936
Lake County,17097,IL,684107,54273
Massac County,17127,IL,13918,2331
Cass County,17017,IL,12331,1822
Huntington County,18069,IN,34942,3809
White County,18181,IN,23801,2198
Jay County,18075,IN,20475,2887
Shelby County,18145,IN,43556,4903
Sullivan County,18153,IN,18405,2209
Tippecanoe County,18157,IN,174497,32662
Hamilton County,18057,IN,321126,14700
Bartholomew County,18005,IN,81340,10859
Fulton County,18049,IN,19688,2442
Noble County,18113,IN,46413,3453
Clark County,18019,IN,114572,11544
Hendricks County,18063,IN,160276,8021
Grant County,18053,IN,60861,10953
Jackson County,18071,IN,42849,6268
Owen County,18119,IN,20489,3154
Whitley County,18183,IN,33274,3213
Clinton County,18023,IN,31415,3916
Union County,18161,IN,6953,513
Dearborn County,18029,IN,48744,4446
Lawrence County,18093,IN,44695,5549
Perry County,18123,IN,17325,2067
Posey County,18129,IN,25248,2255
Carroll County,18015,IN,19859,1912
Fountain County,18045,IN,16203,1802
Starke County,18149,IN,22825,3385
Greene County,18055,IN,31730,4527
Benton County,19011,IA,25156,2216
Dubuque County,19061,IA,93255,10646
Pocahontas County,19151,IA,6641,713
Van Buren County,19177,IA,7066,906
Adams County,19003,IA,3608,508
Audubon County,19009,IA,5417,632
Davis County,19051,IA,8783,868
Ida County,19093,IA,6741,648
Monroe County,19135,IA,7681,809
Sioux County,19167,IA,32514,2047
Calhoun County,19025,IA,9016,1133
Cerro Gordo County,19033,IA,41906,4252
Hardin County,19083,IA,16209,1564
Lucas County,19117,IA,8399,991
Palo Alto County,19147,IA,8665,554
Henry County,19087,IA,18410,1972
Jasper County,19099,IA,35254,3186
Poweshiek County,19157,IA,16670,1654
Clayton County,19043,IA,17292,1993
Bremer County,19017,IA,23348,1725
Emmet County,19063,IA,8497,1055
Hancock County,19081,IA,10601,1063
Jackson County,19097,IA,19092,2500
Lee County,19111,IA,32845,4658
Warren County,19181,IA,48163,3933
Mahaska County,19123,IA,21567,2949
Clay County,19041,IA,15879,1723
Delaware County,19055,IA,16983,1559
Wayne County,19185,IA,6313,1086
Scott County,19163,IA,168966,20389
Sherman County,20181,KS,5736,660
Thomas County,20193,KS,7380,883
Morris County,20127,KS,5482,493
Rooks County,20163,KS,4862,380
Clark County,20025,KS,1955,213
Harper County,20077,KS,5438,874
Lyon County,20111,KS,31606,5356
Pawnee County,20145,KS,5545,353
Comanche County,20033,KS,1663,175
Gove County,20063,KS,2589,259
Harvey County,20079,KS,33100,3172
